situacion,move_id,altura,startup,latency,agachado,vida_pct,ronda,rondas_propias,rondas_rival,seg_restantes,online,precrouch,nth
true5050,hellsweep,low,18,17,1,54,1,0,0,58,0,0,1
true5050,df2,mid,,,0,54,1,0,0,57,0,0,1
true5050,db4,low,18,17,1,70,1,0,0,56,0,0,2
true5050,d4,low,19,18,1,65,1,0,0,54,0,0,3
true5050,uf4,mid,,,0,65,1,0,0,53,0,0,1
true5050,FC df4,low,20,19,1,57,1,0,0,53,0,0,1
true5050,hellsweep,low,18,17,1,45,1,0,0,51,0,0,2
true5050,df2,mid,,,0,45,1,0,0,50,0,0,1
true5050,db4,low,18,17,1,77,1,0,0,49,0,0,3
true5050,d4,low,19,18,1,90,1,0,0,47,0,0,1
true5050,uf4,mid,,,0,90,1,0,0,46,0,0,1
true5050,FC df4,low,20,19,1,48,1,0,0,45,0,0,2
true5050,hellsweep,low,18,17,1,77,1,0,0,44,0,0,3
true5050,df2,mid,,,1,77,1,0,0,43,0,0,1
true5050,db4,low,18,17,1,68,1,0,0,42,0,0,1
true5050,d4,low,19,18,1,58,1,0,0,40,0,0,2
true5050,uf4,mid,,,0,58,1,0,0,39,0,0,1
true5050,FC df4,low,20,19,1,87,1,0,0,38,0,0,3
true5050,hellsweep,low,18,17,1,89,1,0,0,36,0,0,1
true5050,df2,mid,,,0,89,1,0,0,35,0,0,1
true5050,db4,low,18,17,1,64,1,0,0,35,0,0,2
true5050,d4,low,19,18,1,58,1,0,0,33,0,0,3
true5050,uf4,mid,,,0,58,1,0,0,32,0,0,1
true5050,FC df4,low,20,19,1,50,1,0,0,31,0,0,1
true5050,hellsweep,low,18,17,1,74,1,0,0,29,0,0,2
true5050,df2,mid,,,0,74,1,0,0,28,0,0,1
true5050,db4,low,18,17,1,73,1,0,0,27,0,0,3
true5050,d4,low,19,18,1,86,1,0,0,26,0,0,1
true5050,uf4,mid,,,0,86,1,0,0,25,0,0,1
true5050,FC df4,low,20,19,1,95,1,0,0,24,0,0,2
true5050,hellsweep,low,18,17,1,73,1,0,0,22,0,0,3
true5050,df2,mid,,,0,73,1,0,0,21,0,0,1
true5050,db4,low,18,17,1,41,1,0,0,20,0,0,1
true5050,d4,low,19,18,1,41,1,0,0,18,0,0,2
true5050,uf4,mid,,,0,41,1,0,0,17,0,0,1
true5050,FC df4,low,20,19,1,87,1,0,0,17,0,0,3
true5050,hellsweep,low,18,17,1,44,1,0,0,15,0,0,1
true5050,df2,mid,,,0,44,1,0,0,14,0,0,1
true5050,db4,low,18,17,1,80,1,0,0,13,0,0,2
true5050,d4,low,19,18,1,68,1,0,0,11,0,0,3
true5050,uf4,mid,,,0,68,1,0,0,10,0,0,1
true5050,FC df4,low,20,19,1,70,1,0,0,9,0,0,1
true5050,hellsweep,low,18,17,1,93,1,0,0,8,0,0,2
true5050,df2,mid,,,0,93,1,0,0,7,0,0,1
true5050,db4,low,18,17,1,56,1,0,0,6,0,0,3
timing,hellsweep,low,24,23,1,47,1,0,0,50,0,0,1
timing,db4,low,25,24,1,94,1,0,0,47,0,0,2
timing,d4,low,26,25,1,72,1,0,0,44,0,0,3
timing,FC df4,low,27,26,1,93,1,0,0,42,0,0,1
timing,hellsweep,low,24,23,1,64,1,0,0,39,0,0,2
timing,db4,low,25,24,1,84,1,0,0,36,0,0,3
timing,d4,low,26,25,1,77,1,0,0,33,0,0,1
timing,FC df4,low,27,26,1,70,1,0,0,30,0,0,2
timing,hellsweep,low,24,23,1,83,1,0,0,28,0,0,3
timing,db4,low,25,24,1,45,1,0,0,25,0,0,1
timing,d4,low,26,25,1,76,1,0,0,22,0,0,2
timing,FC df4,low,27,26,1,47,1,0,0,19,0,0,3
timing,hellsweep,low,24,23,1,62,1,0,0,16,0,0,1
timing,db4,low,25,24,1,79,1,0,0,14,0,0,2
timing,d4,low,26,25,1,95,1,0,0,11,0,0,3
timing,FC df4,low,27,26,1,45,1,0,0,8,0,0,1
true5050,hellsweep,low,18,17,1,58,2,0,1,58,0,0,1
true5050,df2,mid,,,0,58,2,0,1,57,0,0,1
true5050,db4,low,18,17,1,55,2,0,1,56,0,0,2
true5050,d4,low,19,18,1,80,2,0,1,54,0,0,3
true5050,uf4,mid,,,0,80,2,0,1,53,0,0,1
true5050,FC df4,low,20,19,1,43,2,0,1,53,0,0,1
true5050,hellsweep,low,18,17,1,48,2,0,1,51,0,0,2
true5050,df2,mid,,,0,48,2,0,1,50,0,0,1
true5050,db4,low,18,17,1,87,2,0,1,49,0,0,3
true5050,d4,low,19,18,1,85,2,0,1,47,0,0,1
true5050,uf4,mid,,,0,85,2,0,1,46,0,0,1
true5050,FC df4,low,20,19,1,93,2,0,1,45,0,0,2
true5050,hellsweep,low,18,17,1,94,2,0,1,44,0,0,3
true5050,df2,mid,,,1,94,2,0,1,43,0,0,1
true5050,db4,low,18,17,1,82,2,0,1,42,0,0,1
true5050,d4,low,19,18,1,78,2,0,1,40,0,0,2
true5050,uf4,mid,,,0,78,2,0,1,39,0,0,1
true5050,FC df4,low,20,19,1,87,2,0,1,38,0,0,3
true5050,hellsweep,low,18,17,1,47,2,0,1,36,0,0,1
true5050,df2,mid,,,0,47,2,0,1,35,0,0,1
true5050,db4,low,18,17,1,60,2,0,1,35,0,0,2
true5050,d4,low,19,18,1,90,2,0,1,33,0,0,3
true5050,uf4,mid,,,0,90,2,0,1,32,0,0,1
true5050,FC df4,low,20,19,1,72,2,0,1,31,0,0,1
true5050,hellsweep,low,18,17,1,57,2,0,1,29,0,0,2
true5050,df2,mid,,,0,57,2,0,1,28,0,0,1
true5050,db4,low,18,17,1,49,2,0,1,27,0,0,3
true5050,d4,low,19,18,1,94,2,0,1,26,0,0,1
true5050,uf4,mid,,,0,94,2,0,1,25,0,0,1
true5050,FC df4,low,20,19,1,82,2,0,1,24,0,0,2
true5050,hellsweep,low,18,17,1,51,2,0,1,22,0,0,3
true5050,df2,mid,,,0,51,2,0,1,21,0,0,1
