situacion,move_id,altura,startup,latency,agachado,vida_pct,ronda,rondas_propias,rondas_rival,seg_restantes,online,precrouch,nth
true5050,hellsweep,low,18,,0,54,1,0,0,58,0,0,1
true5050,df2,mid,,,0,54,1,0,0,57,0,0,1
true5050,db4,low,18,17,1,65,1,0,0,56,0,0,2
true5050,d4,low,19,,0,51,1,0,0,54,0,0,3
true5050,uf4,mid,,,0,51,1,0,0,53,0,0,1
true5050,FC df4,low,20,18,1,81,1,0,0,53,0,0,1
true5050,hellsweep,low,18,15,1,68,1,0,0,51,0,0,2
true5050,df2,mid,,,0,68,1,0,0,50,0,0,1
true5050,db4,low,18,12,1,68,1,0,0,49,0,0,3
true5050,d4,low,19,,0,50,1,0,0,47,0,0,1
true5050,uf4,mid,,,0,50,1,0,0,46,0,0,1
true5050,FC df4,low,20,,0,73,1,0,0,45,0,0,2
true5050,hellsweep,low,18,,0,56,1,0,0,44,0,0,3
true5050,df2,mid,,,0,56,1,0,0,43,0,0,1
true5050,db4,low,18,20,1,66,1,0,0,42,0,0,1
true5050,d4,low,19,15,1,87,1,0,0,40,0,0,2
true5050,uf4,mid,,,0,87,1,0,0,39,0,0,1
true5050,FC df4,low,20,,0,90,1,0,0,38,0,0,3
true5050,hellsweep,low,18,,0,93,1,0,0,36,0,0,1
true5050,df2,mid,,,1,93,1,0,0,35,0,0,1
true5050,db4,low,18,,0,51,1,0,0,35,0,0,2
true5050,d4,low,19,,0,73,1,0,0,33,0,0,3
true5050,uf4,mid,,,1,73,1,0,0,32,0,0,1
true5050,FC df4,low,20,,0,85,1,0,0,31,0,0,1
true5050,hellsweep,low,18,,0,72,1,0,0,29,0,0,2
true5050,df2,mid,,,1,72,1,0,0,28,0,0,1
true5050,db4,low,18,14,1,78,1,0,0,27,0,0,3
true5050,d4,low,19,18,1,95,1,0,0,26,0,0,1
true5050,uf4,mid,,,1,95,1,0,0,25,0,0,1
true5050,FC df4,low,20,,0,80,1,0,0,24,0,0,2
true5050,hellsweep,low,18,16,1,43,1,0,0,22,0,0,3
true5050,df2,mid,,,0,43,1,0,0,21,0,0,1
true5050,db4,low,18,,0,89,1,0,0,20,0,0,1
true5050,d4,low,19,14,1,94,1,0,0,18,0,0,2
true5050,uf4,mid,,,0,94,1,0,0,17,0,0,1
true5050,FC df4,low,20,14,1,87,1,0,0,17,0,0,3
true5050,hellsweep,low,18,,0,90,1,0,0,15,0,0,1
true5050,df2,mid,,,0,90,1,0,0,14,0,0,1
true5050,db4,low,18,,0,57,1,0,0,13,0,0,2
true5050,d4,low,19,,0,49,1,0,0,11,0,0,3
true5050,uf4,mid,,,0,49,1,0,0,10,0,0,1
true5050,FC df4,low,20,15,1,82,1,0,0,9,0,0,1
true5050,hellsweep,low,18,,0,79,1,0,0,8,0,0,2
true5050,df2,mid,,,0,79,1,0,0,7,0,0,1
true5050,db4,low,18,,0,89,1,0,0,6,0,0,3
timing,hellsweep,low,24,24,1,43,1,0,0,50,0,0,1
timing,db4,low,25,21,1,80,1,0,0,47,0,0,2
timing,d4,low,26,,0,56,1,0,0,44,0,0,3
timing,FC df4,low,27,23,1,57,1,0,0,42,0,0,1
timing,hellsweep,low,24,23,1,41,1,0,0,39,0,0,2
timing,db4,low,25,26,1,42,1,0,0,36,0,0,3
timing,d4,low,26,21,1,74,1,0,0,33,0,0,1
timing,FC df4,low,27,22,1,71,1,0,0,30,0,0,2
timing,hellsweep,low,24,,0,43,1,0,0,28,0,0,3
timing,db4,low,25,22,1,43,1,0,0,25,0,0,1
timing,d4,low,26,,0,65,1,0,0,22,0,0,2
timing,FC df4,low,27,,0,37,1,0,0,19,0,0,3
timing,hellsweep,low,24,22,1,60,1,0,0,16,0,0,1
timing,db4,low,25,26,1,52,1,0,0,14,0,0,2
timing,d4,low,26,22,1,95,1,0,0,11,0,0,3
timing,FC df4,low,27,24,1,42,1,0,0,8,0,0,1
true5050,hellsweep,low,18,17,1,76,2,0,1,58,0,0,1
true5050,df2,mid,,,1,76,2,0,1,57,0,0,1
true5050,db4,low,18,,0,66,2,0,1,56,0,0,2
true5050,d4,low,19,,0,83,2,0,1,54,0,0,3
true5050,uf4,mid,,,1,83,2,0,1,53,0,0,1
true5050,FC df4,low,20,16,1,66,2,0,1,53,0,0,1
true5050,hellsweep,low,18,,0,72,2,0,1,51,0,0,2
true5050,df2,mid,,,0,72,2,0,1,50,0,0,1
true5050,db4,low,18,16,1,94,2,0,1,49,0,0,3
true5050,d4,low,19,,0,81,2,0,1,47,0,0,1
true5050,uf4,mid,,,0,81,2,0,1,46,0,0,1
true5050,FC df4,low,20,18,1,69,2,0,1,45,0,0,2
true5050,hellsweep,low,18,,0,58,2,0,1,44,0,0,3
true5050,df2,mid,,,1,58,2,0,1,43,0,0,1
true5050,db4,low,18,14,1,76,2,0,1,42,0,0,1
true5050,d4,low,19,15,1,86,2,0,1,40,0,0,2
true5050,uf4,mid,,,1,86,2,0,1,39,0,0,1
true5050,FC df4,low,20,16,1,84,2,0,1,38,0,0,3
true5050,hellsweep,low,18,13,1,74,2,0,1,36,0,0,1
true5050,df2,mid,,,1,74,2,0,1,35,0,0,1
true5050,db4,low,18,,0,67,2,0,1,35,0,0,2
true5050,d4,low,19,15,1,48,2,0,1,33,0,0,3
true5050,uf4,mid,,,1,48,2,0,1,32,0,0,1
true5050,FC df4,low,20,,0,41,2,0,1,31,0,0,1
true5050,hellsweep,low,18,16,1,83,2,0,1,29,0,0,2
true5050,df2,mid,,,0,83,2,0,1,28,0,0,1
true5050,db4,low,18,,0,56,2,0,1,27,0,0,3
true5050,d4,low,19,,0,90,2,0,1,26,0,0,1
true5050,uf4,mid,,,0,90,2,0,1,25,0,0,1
true5050,FC df4,low,20,,0,87,2,0,1,24,0,0,2
true5050,hellsweep,low,18,,0,65,2,0,1,22,0,0,3
true5050,df2,mid,,,1,65,2,0,1,21,0,0,1
true5050,db4,low,18,,0,56,2,0,1,20,0,0,1
true5050,d4,low,19,,0,89,2,0,1,18,0,0,2
true5050,uf4,mid,,,0,89,2,0,1,17,0,0,1
true5050,FC df4,low,20,,0,91,2,0,1,17,0,0,3
true5050,hellsweep,low,18,,0,66,2,0,1,15,0,0,1
true5050,df2,mid,,,0,66,2,0,1,14,0,0,1
true5050,db4,low,18,16,1,82,2,0,1,13,0,0,2
true5050,d4,low,19,,0,77,2,0,1,11,0,0,3
true5050,uf4,mid,,,1,77,2,0,1,10,0,0,1
true5050,FC df4,low,20,18,1,66,2,0,1,9,0,0,1
true5050,hellsweep,low,18,11,1,52,2,0,1,8,0,0,2
true5050,df2,mid,,,0,52,2,0,1,7,0,0,1
true5050,db4,low,18,,0,45,2,0,1,6,0,0,3
timing,hellsweep,low,24,21,1,69,2,0,1,50,0,0,1
timing,db4,low,25,24,1,65,2,0,1,47,0,0,2
timing,d4,low,26,,0,47,2,0,1,44,0,0,3
timing,FC df4,low,27,21,1,52,2,0,1,42,0,0,1
timing,hellsweep,low,24,22,1,90,2,0,1,39,0,0,2
timing,db4,low,25,27,1,35,2,0,1,36,0,0,3
timing,d4,low,26,24,1,55,2,0,1,33,0,0,1
timing,FC df4,low,27,24,1,61,2,0,1,30,0,0,2
timing,hellsweep,low,24,24,1,79,2,0,1,28,0,0,3
timing,db4,low,25,28,1,86,2,0,1,25,0,0,1
timing,d4,low,26,23,1,53,2,0,1,22,0,0,2
timing,FC df4,low,27,,0,77,2,0,1,19,0,0,3
timing,hellsweep,low,24,27,1,94,2,0,1,16,0,0,1
timing,db4,low,25,22,1,64,2,0,1,14,0,0,2
timing,d4,low,26,23,1,37,2,0,1,11,0,0,3
timing,FC df4,low,27,21,1,72,2,0,1,8,0,0,1
true5050,hellsweep,low,18,17,1,26,3,1,1,58,0,0,1
true5050,df2,mid,,,0,26,3,1,1,57,0,0,1
true5050,db4,low,18,17,1,23,3,1,1,56,0,0,2
true5050,d4,low,19,15,1,31,3,1,1,54,0,0,3
true5050,uf4,mid,,,0,31,3,1,1,53,0,0,1
true5050,FC df4,low,20,19,1,12,3,1,1,53,0,0,1
true5050,hellsweep,low,18,17,1,14,3,1,1,51,0,0,2
true5050,df2,mid,,,0,14,3,1,1,50,0,0,1
true5050,db4,low,18,17,1,15,3,1,1,49,0,0,3
true5050,d4,low,19,18,1,27,3,1,1,47,0,0,1
true5050,uf4,mid,,,0,27,3,1,1,46,0,0,1
true5050,FC df4,low,20,17,1,31,3,1,1,45,0,0,2
true5050,hellsweep,low,18,17,1,25,3,1,1,44,0,0,3
true5050,df2,mid,,,0,25,3,1,1,43,0,0,1
true5050,db4,low,18,17,1,20,3,1,1,42,0,0,1
true5050,d4,low,19,18,1,16,3,1,1,40,0,0,2
true5050,uf4,mid,,,0,16,3,1,1,39,0,0,1
true5050,FC df4,low,20,19,1,12,3,1,1,38,0,0,3
true5050,hellsweep,low,18,17,1,14,3,1,1,36,0,0,1
true5050,df2,mid,,,1,14,3,1,1,35,0,0,1
true5050,db4,low,18,17,1,11,3,1,1,35,0,0,2
true5050,d4,low,19,18,1,28,3,1,1,33,0,0,3
true5050,uf4,mid,,,0,28,3,1,1,32,0,0,1
true5050,FC df4,low,20,19,1,27,3,1,1,31,0,0,1
true5050,hellsweep,low,18,17,1,13,3,1,1,29,0,0,2
true5050,df2,mid,,,0,13,3,1,1,28,0,0,1
true5050,db4,low,18,17,1,21,3,1,1,27,0,0,3
true5050,d4,low,19,18,1,19,3,1,1,26,0,0,1
true5050,uf4,mid,,,0,19,3,1,1,25,0,0,1
true5050,FC df4,low,20,19,1,12,3,1,1,24,0,0,2
true5050,hellsweep,low,18,17,1,9,3,1,1,22,0,0,3
true5050,df2,mid,,,0,9,3,1,1,21,0,0,1
true5050,db4,low,18,17,1,22,3,1,1,20,0,0,1
true5050,d4,low,19,,0,31,3,1,1,18,0,0,2
true5050,uf4,mid,,,1,31,3,1,1,17,0,0,1
true5050,FC df4,low,20,19,1,9,3,1,1,17,0,0,3
true5050,hellsweep,low,18,17,1,25,3,1,1,15,0,0,1
true5050,df2,mid,,,0,25,3,1,1,14,0,0,1
true5050,db4,low,18,17,1,10,3,1,1,13,0,0,2
true5050,d4,low,19,18,1,27,3,1,1,11,0,0,3
true5050,uf4,mid,,,0,27,3,1,1,10,0,0,1
true5050,FC df4,low,20,19,1,24,3,1,1,9,0,0,1
true5050,hellsweep,low,18,17,1,12,3,1,1,8,0,0,2
true5050,df2,mid,,,0,12,3,1,1,7,0,0,1
